feature,importance,pct_importance
injury_rate_7d,16,8.88888888888889
nr. rest days.2_std_7d,7,3.888888888888889
nr. strength trainings.2_std_7d,7,3.888888888888889
nr. days with interval session_max_28d,7,3.888888888888889
max recovery_std_7d,6,3.3333333333333335
nr. strength trainings.1_min_28d,6,3.3333333333333335
min training success.2_min_28d,5,2.7777777777777777
max training success.2_max_28d,4,2.2222222222222223
nr. rest days.2_min_7d,4,2.2222222222222223
nr. strength trainings.1_max_14d,3,1.6666666666666667
nr. sessions.1_max_14d,3,1.6666666666666667
max km Z5-T1-T2 one day.2_std_7d,3,1.6666666666666667
rel total kms week 0_1_std_7d,3,1.6666666666666667
nr. strength trainings.1_std_14d,3,1.6666666666666667
nr. strength trainings.2_min_28d,3,1.6666666666666667
nr. days with interval session.2_max_28d,3,1.6666666666666667
rel total kms week 0_2_min_14d,2,1.1111111111111112
nr. strength trainings.2_max_7d,2,1.1111111111111112
nr. strength trainings_min_7d,2,1.1111111111111112
max training success.2_min_28d,2,1.1111111111111112
nr. rest days.1_min_7d,2,1.1111111111111112
nr. rest days.2_min_28d,2,1.1111111111111112
nr. strength trainings.2_mean_7d,2,1.1111111111111112
nr. rest days.1_min_28d,2,1.1111111111111112
max recovery.2_std_7d,2,1.1111111111111112
total kms.2_std_14d,2,1.1111111111111112
nr. strength trainings_min_28d,2,1.1111111111111112
nr. tough sessions effort in Z5 T1 or T2_max_28d,2,1.1111111111111112
nr. strength trainings_std_14d,2,1.1111111111111112
nr. strength trainings_min_14d,2,1.1111111111111112
max km one day_max_28d,2,1.1111111111111112
nr. rest days.1_max_14d,2,1.1111111111111112
max km Z5-T1-T2 one day_std_7d,2,1.1111111111111112
nr. rest days.2_min_14d,2,1.1111111111111112
nr. strength trainings_std_7d,2,1.1111111111111112
injury_rate_28d,2,1.1111111111111112
nr. days with interval session_std_7d,2,1.1111111111111112
nr. tough sessions effort in Z5 T1 or T2_min_14d,1,0.5555555555555556
nr. tough sessions effort in Z5 T1 or T2.2_mean_28d,1,0.5555555555555556
max km Z3-4 one day.1_std_7d,1,0.5555555555555556
nr. tough sessions effort in Z5 T1 or T2.2_max_28d,1,0.5555555555555556
max km one day.1_max_14d,1,0.5555555555555556
min exertion.2_min_14d,1,0.5555555555555556
max km Z3-4 one day.1_max_28d,1,0.5555555555555556
nr. days with interval session.2_min_7d,1,0.5555555555555556
total km Z3-4.1_max_14d,1,0.5555555555555556
max km one day.2_std_7d,1,0.5555555555555556
max km Z5-T1-T2 one day.2_min_14d,1,0.5555555555555556
total km Z5-T1-T2.2_std_7d,1,0.5555555555555556
nr. rest days.1_std_7d,1,0.5555555555555556
nr. rest days_std_7d,1,0.5555555555555556
total hours alternative training.2_std_7d,1,0.5555555555555556
