区域名称,阵风（级）,能见度（公里）,最大湿度（百分比）,风向,紫外线（指数）,最低能见度（公里）,浪高(米),降雨量（毫米）,阵风风向,湿度（百分比）,最低温度（摄氏度）,风力（级）,最高温度（摄氏度）
1,6,15,95,5,0,10.0,0.0,0.2,5,70,26,4,30
1,6,15,95,5,0,10.0,0.0,0.2,5,70,26,4,31
1,6,15,95,2,0,10.0,0.0,0.0,2,70,26,4,31
1,7,15,95,2,0,10.0,0.0,0.0,2,70,26,4,30
2,6,15,95,5,0,10.0,0.0,0.2,5,70,26,4,30
2,6,15,95,5,0,10.0,0.0,0.2,5,70,26,4,31
2,6,15,95,2,0,10.0,0.0,0.0,2,70,26,4,31
2,7,15,95,2,0,10.0,0.0,0.0,2,70,26,4,30
3,6,15,95,5,0,10.0,0.0,0.2,5,70,26,4,30
3,6,15,95,5,0,10.0,0.0,0.2,5,70,26,4,31
3,6,15,95,2,0,10.0,0.0,0.0,2,70,26,4,31
3,7,15,95,2,0,10.0,0.0,0.0,2,70,26,4,30
4,6,15,95,5,0,10.0,0.0,0.2,5,70,26,4,30
4,6,15,95,5,0,10.0,0.0,0.2,5,70,26,4,31
4,6,15,95,2,0,10.0,0.0,0.0,2,70,26,4,31
4,7,15,95,2,0,10.0,0.0,0.0,2,70,26,4,30
5,6,15,95,5,0,10.0,0.0,0.2,5,70,26,4,30
5,6,15,95,5,0,10.0,0.0,0.2,5,70,26,4,31
5,6,15,95,2,0,10.0,0.0,0.0,2,70,26,4,31
5,7,15,95,2,0,10.0,0.0,0.0,2,70,26,4,30
6,6,15,95,5,0,10.0,0.0,0.2,5,70,26,4,30
6,6,15,95,5,0,10.0,0.0,0.2,5,70,26,4,31
6,6,15,95,2,0,10.0,0.0,0.0,2,70,26,4,31
6,7,15,95,2,0,10.0,0.0,0.0,2,70,26,4,30
7,6,15,95,5,0,10.0,0.0,0.2,5,70,26,4,30
7,6,15,95,5,0,10.0,0.0,0.2,5,70,26,4,31
7,6,15,95,2,0,10.0,0.0,0.0,2,70,26,4,31
7,7,15,95,2,0,10.0,0.0,0.0,2,70,26,4,30
1,5,15,95,2,0,10.0,0.0,0.0,2,70,23,3,29
1,5,15,95,2,0,10.0,0.0,0.0,2,60,24,4,30
1,5,15,100,2,0,10.0,0.0,0.0,2,65,24,4,30
2,6,15,95,2,0,10.0,0.0,0.0,2,70,24,3,30
2,6,15,95,2,0,10.0,0.0,0.0,2,60,24,4,30
2,6,15,100,2,0,10.0,0.0,0.0,2,65,24,4,30
3,6,15,95,2,0,10.0,0.0,0.0,2,70,23,3,29
3,6,15,95,2,0,10.0,0.0,0.0,2,70,24,3,30
4,6,15,95,2,0,10.0,0.0,0.0,2,70,24,3,30
4,6,15,95,2,0,10.0,0.0,0.0,2,60,24,4,30
4,6,15,100,2,0,10.0,0.0,0.0,2,65,24,4,30
5,6,15,95,2,0,10.0,0.0,0.0,2,70,24,3,30
5,6,15,95,2,0,10.0,0.0,0.0,2,60,24,4,30
5,6,15,100,2,0,10.0,0.0,0.0,2,65,24,4,30
6,6,15,95,2,0,10.0,0.0,0.0,2,70,23,3,29
6,6,15,95,2,0,10.0,0.0,0.0,2,70,24,3,30
7,6,15,95,2,0,10.0,0.0,0.0,2,70,23,3,29
7,6,15,95,2,0,10.0,0.0,0.0,2,70,24,3,30
1,7,15,90,2,0,10.0,0.0,0.0,2,60,24,4,30
1,7,15,95,2,0,10.0,0.0,0.0,2,65,24,4,29
2,7,15,90,2,0,10.0,0.0,0.0,2,60,24,4,30
2,7,15,95,2,0,10.0,0.0,0.0,2,65,24,4,29
3,7,15,90,2,0,10.0,0.0,0.0,2,60,24,4,30
3,7,15,95,2,0,10.0,0.0,0.0,2,65,24,4,29
4,7,15,90,2,0,10.0,0.0,0.0,2,60,24,4,30
4,7,15,95,2,0,10.0,0.0,0.0,2,65,24,4,29
5,6,15,95,2,0,5.0,0.0,0.0,2,70,24,3,30
5,7,15,95,2,0,10.0,0.0,0.0,2,65,24,4,29
5,7,15,95,2,0,10.0,0.0,0.0,2,70,24,4,30
6,6,15,95,2,0,5.0,0.0,0.0,2,70,24,3,30
6,7,15,95,2,0,10.0,0.0,0.0,2,65,24,4,29
6,7,15,95,2,0,10.0,0.0,0.0,2,70,24,4,30
7,6,15,95,2,0,5.0,0.0,0.0,2,70,24,3,30
7,7,15,95,2,0,10.0,0.0,0.0,2,65,24,4,29
7,7,15,95,2,0,10.0,0.0,0.0,2,70,24,4,30
1,4,20,100,6,0,8.0,0.0,4.5,6,70,23,3,28
1,3,20,95,2,0,8.0,0.0,0.2,2,65,22,2,29
2,6,20,95,2,0,10.0,0.0,0.4,2,75,24,4,29
2,6,20,100,2,0,10.0,0.0,0.5,2,75,24,4,27
2,4,20,100,6,0,8.0,0.0,4.5,6,70,23,3,28
2,3,20,95,2,0,8.0,0.0,0.2,2,65,22,2,29
3,6,20,95,2,0,10.0,0.0,0.4,2,75,24,4,29
3,6,20,100,2,0,10.0,0.0,0.5,2,75,24,4,27
3,4,20,100,6,0,8.0,0.0,4.5,6,70,23,3,28
3,3,20,95,2,0,5.0,0.0,0.2,2,65,22,2,29
4,6,20,95,2,0,10.0,0.0,0.4,2,75,24,4,29
4,6,20,100,2,0,10.0,0.0,0.5,2,75,24,4,27
4,4,20,100,6,0,8.0,0.0,4.5,6,70,23,3,28
4,3,20,95,2,0,5.0,0.0,0.2,2,65,22,2,29
5,7,20,100,6,0,5.0,0.0,31.6,6,75,21,4,26
5,4,20,100,6,0,8.0,0.0,4.5,6,70,23,3,28
5,3,20,95,2,0,8.0,0.0,0.2,2,65,22,2,29
6,5,20,95,2,0,10.0,0.0,0.4,2,75,24,4,29
6,5,20,100,2,0,10.0,0.0,0.5,2,75,24,4,27
6,4,20,100,6,0,8.0,0.0,4.5,6,70,23,3,28
6,3,20,95,2,0,8.0,0.0,0.2,2,65,22,2,29
7,5,20,95,2,0,10.0,0.0,0.4,2,75,24,4,29
7,5,20,100,2,0,10.0,0.0,0.5,2,75,24,4,27
7,4,20,100,6,0,8.0,0.0,4.5,6,70,23,3,28
7,3,20,95,2,0,8.0,0.0,0.2,2,65,22,2,29
1,5,15,95,5,0,10.0,0.0,0.0,5,65,22,3,29
1,5,15,95,1,0,10.0,0.0,0.0,1,60,21,3,28
